city,lat,lng,temp_max,humidity,cloudiness,wind speed,country,date
mawlaik,23.63,94.42,73.74,95,97,0.94,MM,1604269729
nago,26.59,127.98,71.6,93,1,4.7,JP,1604269730
lensk,60.73,114.93,-1.23,89,0,4.38,RU,1604269731
bungu,-7.63,39.06,70.81,95,37,2.71,TZ,1604269731
zvishavane,-20.33,30.07,65.03,68,83,5.37,ZW,1604269731
boditi,6.97,37.87,58.17,94,99,3.33,ET,1604269732
bradford,53.79,-1.75,62.01,87,40,26.4,GB,1604269732
ust-tsilma,65.44,52.15,28.94,96,96,7.7,RU,1604269733
sumenep,-7.02,113.87,79.43,75,92,2.42,ID,1604269733
lorengau,-2.02,147.27,85.3,69,16,6.15,PG,1604269733
linfen,36.09,111.52,49.69,44,0,2.62,CN,1604269734
el tigre,8.89,-64.25,80.11,75,74,5.32,VE,1604269734
mayo,38.89,-76.51,57.99,85,75,6.93,US,1604269734
tigil,57.8,158.67,32.86,90,99,6.44,RU,1604269735
pacific grove,36.62,-121.92,88.0,59,1,5.82,US,1604269735
olinda,-8.01,-34.86,80.6,74,40,5.82,BR,1604269407
kalmunai,7.42,81.82,78.75,78,41,5.82,LK,1604269736
chapais,49.78,-74.85,32.0,99,90,8.05,CA,1604269584
mananara,-16.17,49.77,65.05,82,22,4.52,MG,1604269737
salinopolis,-0.61,-47.36,80.69,80,98,11.65,BR,1604269737
coihaique,-45.58,-72.07,73.4,23,0,4.7,CL,1604269737
barranca,-10.75,-77.77,64.81,75,81,8.32,PE,1604269738
verkhnyaya inta,65.98,60.31,26.29,98,99,14.0,RU,1604269739
port lincoln,-34.73,135.87,68.11,52,69,13.31,AU,1604269739
pabrade,55.0,25.78,44.01,75,90,2.24,LT,1604269739
curvelo,-18.76,-44.43,68.9,85,67,8.39,BR,1604269740
makat,47.65,53.35,55.08,39,95,10.31,KZ,1604269740
kerema,-7.96,145.78,82.35,77,78,9.08,PG,1604269741
turukhansk,65.82,87.98,20.23,98,100,7.47,RU,1604269741
gloggnitz,47.67,15.94,51.01,95,100,2.75,AT,1604269741
sobolevo,54.43,31.9,41.0,89,100,8.34,RU,1604269742
french harbor,16.35,-86.43,80.6,94,90,17.22,HN,1604269742
ketchikan,55.34,-131.65,53.6,100,90,27.51,US,1604269729
lebu,-37.62,-73.65,56.73,83,8,6.44,CL,1604269742
governador dix-sept rosado,-5.46,-37.52,80.67,72,1,18.37,BR,1604269744
acarau,-2.89,-40.12,80.26,81,0,16.15,BR,1604269744
goias,-15.58,-49.64,72.5,88,93,4.9,BR,1604269744
grand-santi,4.25,-54.38,77.92,84,87,1.79,GF,1604269745
rincon,32.3,-81.24,71.6,60,75,11.41,US,1604269746
awjilah,29.11,21.29,65.1,54,0,5.7,LY,1604269746
pasighat,28.07,95.33,69.06,75,48,2.01,IN,1604269747
okhotsk,59.38,143.3,18.93,87,100,17.45,RU,1604269747
three hills,51.7,-113.27,68.0,24,18,12.75,CA,1604269581
husavik,66.04,-17.34,37.4,55,90,5.82,IS,1604269748
dong hoi,17.48,106.6,73.85,88,61,8.77,VN,1604269748
bolobo,-2.17,16.23,73.72,91,100,4.47,CD,1604269748
wattegama,6.8,81.48,77.0,100,40,1.12,LK,1604269749
pisco,-13.7,-76.22,64.4,82,90,13.87,PE,1604269749
ponta do sol,32.67,-17.1,69.01,72,20,4.7,PT,1604269749
ambilobe,-13.2,49.05,72.27,71,73,6.06,MG,1604269750
huilong,31.81,121.66,66.0,95,100,8.41,CN,1604269750
sovetskiy,61.36,63.58,26.91,96,23,7.47,RU,1604269750
amga,60.9,131.96,-14.44,88,44,1.66,RU,1604269621
topsham,43.93,-69.98,48.99,92,100,8.81,US,1604269630
kaitong,44.81,123.15,29.79,80,51,13.47,CN,1604269751
arman,59.7,150.17,30.22,94,100,7.52,RU,1604269752
faya,18.39,42.45,60.8,30,0,2.84,SA,1604269752
raudeberg,61.99,5.14,48.0,83,100,27.18,NO,1604269753
alugan,12.22,125.48,77.94,85,86,3.36,PH,1604269753
taveta,-3.4,37.67,68.99,80,37,6.22,KE,1604269753
novaya zaimka,56.49,66.92,26.65,98,0,5.64,RU,1604269754
sioux lookout,50.1,-91.92,24.8,49,75,8.05,CA,1604269754
marzuq,14.4,46.47,61.32,31,0,1.59,YE,1604269754
santa teresa,10.23,-66.66,73.0,83,54,1.39,VE,1604269755
gat,31.61,34.76,73.99,92,100,2.44,IL,1604269755
bowen,-20.02,148.23,80.6,74,40,8.05,AU,1604269693
burnie,-41.07,145.92,60.01,70,100,4.0,AU,1604269756
curillo,1.03,-75.92,79.38,75,87,2.35,CO,1604269756
presidencia roque saenz pena,-26.79,-60.44,73.31,48,0,5.7,AR,1604269757
boyolangu,-8.12,111.89,74.91,87,97,1.43,ID,1604269757
sisimiut,66.94,-53.67,27.9,96,100,10.2,GL,1604269758
muroto,33.28,134.15,62.6,100,75,3.36,JP,1604269758
viedma,-40.81,-63.0,80.01,24,0,16.11,AR,1604269758
babushkin,51.71,105.86,19.67,86,0,4.47,RU,1604269759
kutum,14.2,24.67,74.53,27,43,17.25,SD,1604269759
ibb,13.97,44.18,58.44,35,0,3.36,YE,1604269760
veraval,20.9,70.37,78.87,37,62,13.22,IN,1604269760
altamira,-3.2,-52.21,89.6,52,0,4.7,BR,1604269761
sistranda,63.73,8.83,53.6,58,75,25.28,NO,1604269761
longyearbyen,78.22,15.64,33.8,69,0,31.09,SJ,1604269761
cairns,-16.92,145.77,82.4,58,10,8.05,AU,1604269762
konya,38.17,32.5,46.4,61,20,8.05,TR,1604269762
lixourion,38.2,20.43,64.6,68,50,2.3,GR,1604269762
warmbad,-28.45,18.73,68.29,23,0,4.16,NA,1604269763
kendari,-3.94,122.5,75.33,91,100,2.91,ID,1604269763
tagusao,9.19,117.81,80.87,80,100,12.17,PH,1604269763
discovery bay,37.91,-121.6,81.0,27,1,4.0,US,1604269764
dunedin,-45.87,170.5,55.99,58,67,17.0,NZ,1604269764
oussouye,12.48,-16.55,84.2,83,0,2.24,SN,1604269765
zagan,51.62,15.31,54.0,91,93,3.0,PL,1604269765
mlonggo,-6.53,110.7,77.47,84,94,3.76,ID,1604269765
hailin,44.58,129.42,29.62,88,3,7.49,CN,1604269766
atambua,-9.11,124.89,76.14,72,91,2.71,ID,1604269766
puquio,-14.7,-74.13,55.71,41,7,12.1,PE,1604269766
sibolga,1.74,98.78,75.67,82,95,2.55,ID,1604269767
mwene-ditu,-7.0,23.45,65.17,92,40,1.68,CD,1604269767
keita,14.76,5.77,80.04,17,0,10.51,NE,1604269768
trairi,-3.28,-39.27,80.28,78,47,11.74,BR,1604269768
vidim,56.41,103.11,16.11,84,69,6.96,RU,1604269769
trat,12.5,102.5,74.89,92,50,5.53,TH,1604269769
yeppoon,-23.13,150.73,78.8,74,40,5.82,AU,1604269769
bedesa,8.9,40.78,59.86,79,19,2.21,ET,1604269770
ilulissat,69.22,-51.1,17.6,72,100,2.24,GL,1604269770
djibo,14.1,-1.63,83.35,15,0,8.14,BF,1604269770
kirakira,-10.45,161.92,85.1,67,80,8.12,SB,1604269771
mingshui,36.72,117.5,51.01,50,0,2.24,CN,1604269771
mingguang,32.78,117.96,55.8,53,65,5.97,CN,1604269771
kango,0.19,10.1,73.94,96,95,0.31,GA,1604269772
kahului,20.89,-156.47,87.8,55,40,12.75,US,1604269260
laizhou,37.17,119.92,45.21,56,0,2.62,CN,1604269772
najran,17.49,44.13,62.6,29,0,1.68,SA,1604269773
ankang,32.68,109.02,50.95,63,99,0.25,CN,1604269774
gijon,43.54,-5.66,64.0,86,82,1.01,ES,1604269774
boca do acre,-8.75,-67.4,83.25,62,71,2.64,BR,1604269775
moerai,-22.43,-151.33,76.12,86,96,15.97,PF,1604269775
salalah,17.02,54.09,75.2,53,0,4.7,OM,1604269777
cooma,-36.23,149.13,50.0,93,33,8.05,AU,1604269777
lobito,-12.35,13.55,77.09,85,100,3.44,AO,1604269777
atbasar,51.8,68.33,37.49,88,100,6.64,KZ,1604269778
moroni,-11.7,43.26,75.78,71,100,2.91,KM,1604269778
qasigiannguit,68.82,-51.19,17.6,72,100,2.24,GL,1604269778
nong chik,6.84,101.18,77.07,85,100,5.08,TH,1604269779
key largo,25.09,-80.45,82.0,1,33,1.01,US,1604269779
tornio,65.85,24.15,44.6,81,100,16.11,FI,1604269781
kilindoni,-7.91,39.67,78.58,79,33,11.25,TZ,1604269782
khorinsk,52.17,109.77,13.48,92,0,5.17,RU,1604269782
cascavel,-24.96,-53.46,65.91,58,50,4.38,BR,1604269783
dingle,11.0,122.67,75.65,91,99,5.79,PH,1604269784
fushun,41.86,123.92,23.0,67,0,2.24,CN,1604269784
tiarei,-17.53,-149.33,82.4,69,75,10.29,PF,1604269785
rafai,4.95,23.92,69.35,92,97,2.62,CF,1604269785
lianyuan,27.69,111.66,57.31,74,100,3.29,CN,1604269786
mujiayingzi,42.12,118.78,27.59,81,19,8.9,CN,1604269786
okha,53.57,142.95,41.77,97,100,8.95,RU,1604269787
baykit,61.67,96.37,21.45,95,100,5.1,RU,1604269787
katherine,-14.47,132.27,82.4,45,32,1.12,AU,1604269788
joshimath,30.57,79.57,48.27,47,0,4.47,IN,1604269788
mareeba,-17.0,145.43,82.4,58,0,8.05,AU,1604269788
arauco,-37.25,-73.32,55.4,82,90,5.82,CL,1604269789
olafsvik,64.89,-23.71,37.13,78,49,16.78,IS,1604269789
lakheri,25.67,76.17,63.57,26,0,0.83,IN,1604269790
san quintin,30.48,-115.95,76.42,40,0,11.41,MX,1604269790
alofi,-19.06,-169.92,78.8,83,75,13.87,NU,1604269791
nuevo progreso,23.17,-97.95,79.0,44,0,8.01,MX,1604269791
marienburg,54.04,19.03,46.0,100,97,10.47,PL,1604269792
jerusalem,31.77,35.22,59.0,92,99,4.21,IL,1604269359
ishimbay,53.45,56.04,37.2,87,0,4.07,RU,1604269793
chesma,53.81,60.65,29.77,96,11,3.22,RU,1604269793
mogadishu,2.04,45.34,79.39,80,95,9.48,SO,1604269527
churapcha,62.0,132.43,-18.04,88,10,2.64,RU,1604269794
primorsk,46.73,36.34,53.83,78,76,22.86,UA,1604269795
mayor pablo lagerenza,-19.93,-60.77,82.15,30,0,4.97,PY,1604269795
barcelona,41.39,2.16,63.0,93,20,3.36,ES,1604269526
greenwood,34.17,-82.12,64.4,63,1,11.41,US,1604269796
iquique,-20.22,-70.14,64.4,68,0,19.46,CL,1604269796
kapuskasing,49.42,-82.43,24.8,85,100,17.22,CA,1604269797
kristiansund,63.11,7.73,55.4,43,100,26.4,NO,1604269797
blackwater,-23.58,148.88,80.69,25,0,8.86,AU,1604269566
saint simons,31.14,-81.39,73.4,69,20,6.93,US,1604269798
turbat,26.0,63.04,64.47,21,0,8.39,PK,1604269798
lesnoy,57.62,63.08,29.39,96,0,3.78,RU,1604269799
hagere hiywet,8.98,37.85,52.68,67,60,5.7,ET,1604269799
farnborough,51.29,-0.76,61.0,93,100,23.04,GB,1604269800
campos belos,-13.04,-46.77,75.85,74,87,4.29,BR,1604269800
taquaritinga,-21.41,-48.5,66.11,64,1,13.8,BR,1604269803
baoning,25.34,110.03,64.4,82,75,8.95,CN,1604269805
zaysan,47.47,84.87,32.47,86,61,2.68,KZ,1604269806
eyl,7.98,49.82,78.75,68,0,13.78,SO,1604269808
esso,55.93,158.7,28.62,94,96,3.89,RU,1604269809
mehamn,71.04,27.85,41.0,86,0,25.28,NO,1604269810
pergine valsugana,46.06,11.24,46.99,89,13,1.48,IT,1604269811
lufilufi,-13.87,-171.6,87.8,70,75,4.7,WS,1604269812
port hardy,50.7,-127.42,55.4,66,75,6.93,CA,1604269807
berdigestyakh,62.1,126.7,-6.59,91,90,3.15,RU,1604269813
tocopilla,-22.09,-70.2,63.23,59,19,6.64,CL,1604269814
vanimo,-2.67,141.3,80.47,80,99,5.21,PG,1604269564
angoram,-4.06,144.07,81.34,88,65,2.59,PG,1604269815
bilibino,68.05,166.44,6.17,85,77,1.19,RU,1604269816
whitianga,-36.83,175.7,68.36,58,100,6.42,NZ,1604269817
bogo,11.05,124.01,80.37,78,100,3.18,PH,1604269817
prainha,-1.8,-53.48,86.25,43,35,3.78,BR,1604269818
ulaanbaatar,47.91,106.88,-2.2,84,0,2.24,MN,1604269819
bognor regis,50.78,-0.68,62.01,100,100,10.0,GB,1604269820
adrar,20.5,-10.07,79.32,17,100,9.26,MR,1604269820
huarmey,-10.07,-78.15,64.45,76,100,8.21,PE,1604269821
santa cruz de tenerife,28.47,-16.25,72.0,32,0,4.7,ES,1604269822
inuvik,68.35,-133.72,10.4,85,99,2.24,CA,1604269585
tautira,-17.73,-149.15,82.4,69,75,10.29,PF,1604269823
manta,-0.95,-80.73,80.6,74,40,11.41,EC,1604269636
bogovina,43.9,21.94,42.8,87,0,2.24,RS,1604269824
lexington park,38.27,-76.45,57.99,87,20,4.7,US,1604269608
keetmanshoop,-26.58,18.13,80.6,12,0,5.82,NA,1604269825
witu,-2.39,40.44,78.8,83,20,4.7,KE,1604269826
karratha,-20.74,116.85,74.03,64,97,11.86,AU,1604269827
deputatskiy,69.3,139.9,-15.83,88,56,6.51,RU,1604269827
nishihara,26.18,127.76,71.6,83,20,4.29,JP,1604269828
port hueneme,34.15,-119.2,77.0,82,1,5.82,US,1604269828
vohibinany,-17.35,49.03,64.78,73,94,1.43,MG,1604269829
sivaki,52.63,126.75,15.87,96,100,14.41,RU,1604269829
fort smith,35.39,-94.4,64.4,23,1,9.17,US,1604269830
alyangula,-13.85,136.42,80.6,69,7,1.12,AU,1604269831
guarapari,-20.67,-40.5,73.4,69,75,16.11,BR,1604269832
bolivar,37.61,-93.41,53.01,31,0,5.01,US,1604269832
hami,42.8,93.45,37.06,66,0,5.86,CN,1604269834
lungi,9.22,-12.68,76.19,91,18,5.23,SL,1604269834
haines junction,60.75,-137.51,14.0,56,100,2.24,CA,1604269835
berlevag,70.86,29.09,39.2,86,0,25.28,NO,1604269836
sur,22.57,59.53,70.23,33,0,4.76,OM,1604269836
dhidhdhoo,6.88,73.1,82.29,68,50,4.36,MV,1604269554
sao paulo de olivenca,-3.38,-68.87,74.64,89,87,0.45,BR,1604269838
susanville,40.42,-120.65,72.0,16,1,3.36,US,1604269839
havoysund,71.0,24.66,41.0,80,20,21.92,NO,1604269840
aklavik,68.22,-135.01,10.4,85,99,2.24,CA,1604269840
emerald,-23.53,148.17,82.0,26,0,19.46,AU,1604269841
bathsheba,13.22,-59.52,82.4,78,40,23.04,BB,1604269841
kassala,15.45,36.4,80.94,56,0,8.19,SD,1604269842
kashan,33.98,51.44,56.68,40,53,1.57,IR,1604269842
simao,22.79,100.97,60.75,95,7,1.54,CN,1604269843
conde,-7.26,-34.91,78.8,83,20,10.29,BR,1604269843
lydenburg,-25.1,30.46,64.0,93,40,2.66,ZA,1604269844
darnah,32.77,22.64,69.46,63,21,11.83,LY,1604269844
oytal,42.91,73.27,47.88,41,86,2.06,KZ,1604269845
wadi musa,30.32,35.48,54.79,86,8,1.57,JO,1604269845
owando,-0.48,15.9,71.42,98,100,4.07,CG,1604269846
nayoro,44.35,142.46,51.3,86,49,9.69,JP,1604269846
dixon,38.45,-121.82,82.0,22,1,3.36,US,1604269846
khash,28.22,61.22,40.87,61,0,2.15,IR,1604269847
magadan,59.57,150.8,29.46,94,100,10.83,RU,1604269847
los alamos,35.89,-106.31,60.01,30,1,3.36,US,1604269841
thinadhoo,0.53,72.93,83.03,75,98,9.37,MV,1604269848
linares,-35.85,-71.6,68.68,68,0,6.33,CL,1604269848
kimbe,-5.55,150.14,84.4,74,13,1.77,PG,1604269849
roald,62.58,6.13,50.0,66,75,25.28,NO,1604269849
puertollano,38.69,-4.11,59.0,68,85,0.58,ES,1604269711
san policarpo,12.18,125.51,78.49,85,99,3.15,PH,1604269850
wamba,8.93,8.6,73.87,42,55,3.62,NG,1604269850
kalangala,-0.31,32.23,71.51,75,84,5.53,UG,1604269851
ampanihy,-24.7,44.75,66.67,80,4,12.5,MG,1604269852
karachi,24.91,67.08,64.4,55,0,3.36,PK,1604269853
schlitz,50.67,9.56,57.99,99,100,5.99,DE,1604269853
matara,5.95,80.54,76.64,85,55,5.75,LK,1604269854
stornoway,58.21,-6.39,48.2,87,86,19.46,GB,1604269854
shimanovsk,52.0,127.7,22.33,97,100,13.56,RU,1604269855
yumen,40.28,97.2,27.32,89,0,2.44,CN,1604269855
nepa nagar,21.47,76.4,66.87,46,0,4.29,IN,1604269856
srivardhan,18.03,73.02,78.69,65,59,2.91,IN,1604269857
sohag,26.56,31.69,77.0,53,20,10.29,EG,1604269857
flinders,-34.58,150.86,66.99,73,75,5.99,AU,1604269858
taksimo,56.34,114.88,3.69,82,5,2.57,RU,1604269858
stykkisholmur,65.08,-22.73,35.94,79,99,8.19,IS,1604269859
yulara,-25.24,130.99,78.8,15,26,9.17,AU,1604269859
pedernales,18.04,-71.74,86.0,70,40,13.87,DO,1604269859
oktyabrskiy,54.48,53.47,31.26,97,0,3.8,RU,1604269860
douala,4.05,9.7,75.2,100,75,2.21,CM,1604269772
nassau,40.75,-73.58,55.0,93,90,8.05,US,1604269861
rudnogorsk,57.26,103.75,13.71,89,69,4.63,RU,1604269861
ushtobe,45.25,77.98,36.03,81,0,0.96,KZ,1604269861
labuhan,-6.88,112.21,77.65,87,91,8.48,ID,1604269862
kigali,-1.95,30.06,64.4,82,40,6.93,RW,1604269862
taiyuan,37.87,112.56,30.2,68,0,2.24,CN,1604269844
harvard,42.42,-88.61,37.99,47,0,1.99,US,1604269863
jatai,-17.88,-51.71,72.03,60,24,8.16,BR,1604269864
belmonte,-15.86,-38.88,82.4,83,20,1.12,BR,1604269864
camargo,27.67,-105.17,77.41,19,100,18.5,MX,1604269864
visnes,59.36,5.22,51.01,81,100,26.4,NO,1604269865
guanica,17.97,-66.91,82.0,60,55,1.01,PR,1604269865
bouca,6.51,18.27,71.02,92,46,0.83,CF,1604269866
rio gallegos,-51.62,-69.22,57.2,54,75,13.87,AR,1604269866
dormidontovka,47.77,134.91,34.48,88,0,6.4,RU,1604269866
acapulco,16.86,-99.89,85.57,66,31,8.99,MX,1604269739
saint-francois,46.42,3.91,64.4,72,90,4.7,FR,1604269867
mwinilunga,-11.74,24.43,64.31,41,25,2.55,ZM,1604269868
urbano santos,-3.21,-43.4,78.89,74,51,5.26,BR,1604269869
saint-georges,12.06,-61.75,77.0,94,75,19.46,GD,1604269869
itoman,26.12,127.67,71.6,83,20,1.12,JP,1604269870
vostok,46.49,135.88,29.16,99,71,3.47,RU,1604269870
paamiut,61.99,-49.67,27.9,94,90,10.02,GL,1604269871
chadan,51.28,91.58,22.98,92,93,0.81,RU,1604269871
asau,46.43,26.4,37.99,95,0,5.99,RO,1604269871
obera,-27.49,-55.12,67.35,55,19,4.54,AR,1604269872
aplahoue,6.93,1.68,75.27,96,77,5.01,BJ,1604269872
juneau,58.3,-134.42,33.8,86,90,4.88,US,1604269740
tahe,52.33,124.73,9.99,93,100,12.03,CN,1604269873
auki,-8.77,160.7,86.34,66,84,1.99,SB,1604269873
iskenderun,36.59,36.17,70.0,68,40,4.7,TR,1604269853
